忠诚/adj =polar:1, frequency:3, kind: adj
得分/v=polar:1, frequency:3, kind: v
尖/adj =polar:1, frequency:3, kind: adj
尖/n =polar:1, frequency:3, kind: n
尊/n =polar:1, frequency:3, kind: n
尊/n=polar:1, frequency:3, kind: n
客观/n =polar:1, frequency:3, kind: n
实/n =polar:1, frequency:3, kind: n
孝顺/adj =polar:1, frequency:3, kind: adj
威/adj =polar:-1, frequency:3, kind: adj
壮/v=polar:1, frequency:3, kind: v
圆/n =polar:-1, frequency:3, kind: n
圆/n=polar:-1, frequency:3, kind: n
团结/adj =polar:1, frequency:3, kind: adj
喜/n =polar:1, frequency:3, kind: n
喜/n=polar:1, frequency:3, kind: n
咒/v=polar:-1, frequency:3, kind: v
和平/adj =polar:1, frequency:3, kind: adj
压抑/adj =polar:-1, frequency:3, kind: adj
危险/n =polar:-1, frequency:3, kind: n
匀/adj =polar:1, frequency:3, kind: adj
勉强/v=polar:-1, frequency:3, kind: v
制服/n=polar:-1, frequency:3, kind: n
冷淡/adj =polar:-1, frequency:3, kind: adj
健全/v=polar:1, frequency:3, kind: v
便宜/v=polar:1, frequency:3, kind: v
伪装/n=polar:-1, frequency:3, kind: n
仇恨/v=polar:-1, frequency:3, kind: v
仁/n =polar:1, frequency:3, kind: n
为难/adj =polar:-1, frequency:3, kind: adj
中兴/n=polar:1, frequency:3, kind: n
世故/adj =polar:-1, frequency:3, kind: adj
不幸/n =polar:-1, frequency:3, kind: n
麻痹/v=polar:-1, frequency:2, kind: v
高/v=polar:1, frequency:2, kind: v
霸道/v=polar:-1, frequency:2, kind: v
雄/n =polar:1, frequency:2, kind: n
难忘/v=polar:1, frequency:2, kind: v
阴/n =polar:-1, frequency:2, kind: n
阳/n =polar:1, frequency:2, kind: n
通知/v=polar:1, frequency:2, kind: v
误解/n=polar:-1, frequency:2, kind: n
警/v=polar:1, frequency:2, kind: v
莫名/adj =polar:-1, frequency:2, kind: adj
芳/adj =polar:1, frequency:2, kind: adj
芳/n =polar:1, frequency:2, kind: n
自重/adj =polar:1, frequency:2, kind: adj
约/v=polar:1, frequency:2, kind: v
穷/v=polar:-1, frequency:2, kind: v
理智/adj =polar:1, frequency:2, kind: adj
珍/n=polar:1, frequency:2, kind: n
爱好/v=polar:1, frequency:2, kind: v
焕/v=polar:1, frequency:2, kind: v
灵动/v=polar:1, frequency:2, kind: v
溜/n=polar:1, frequency:2, kind: n
浪/v=polar:-1, frequency:2, kind: v
注/n=polar:1, frequency:2, kind: n
次/adj =polar:-1, frequency:2, kind: adj
横/v=polar:-1, frequency:2, kind: v
横/adj =polar:-1, frequency:2, kind: adj
梦想/v=polar:1, frequency:2, kind: v
格斗/v=polar:-1, frequency:2, kind: v
板/v=polar:-1, frequency:2, kind: v
权威/adj =polar:1, frequency:2, kind: adj
无辜/adj =polar:1, frequency:2, kind: adj
无益/adj =polar:-1, frequency:2, kind: adj
挫折/v=polar:-1, frequency:2, kind: v
打算/n=polar:-1, frequency:2, kind: n
打扮/n=polar:1, frequency:2, kind: n
慧/n =polar:1, frequency:2, kind: n
愁/n=polar:-1, frequency:2, kind: n
忠诚/v=polar:1, frequency:2, kind: v
异/v=polar:-1, frequency:2, kind: v
平衡/v=polar:1, frequency:2, kind: v
平安/n =polar:1, frequency:2, kind: n
干/adj =polar:-1, frequency:2, kind: adj
尊/v=polar:1, frequency:2, kind: v
宜/v=polar:1, frequency:2, kind: v
学会/n=polar:1, frequency:2, kind: n
太平/n =polar:1, frequency:2, kind: n
太平/adj =polar:1, frequency:2, kind: adj
大作/n=polar:1, frequency:2, kind: n
壮/adj =polar:1, frequency:2, kind: adj
坚定/v=polar:1, frequency:2, kind: v
坚/adj =polar:1, frequency:2, kind: adj
坚/n =polar:1, frequency:2, kind: n
喜好/adj =polar:1, frequency:2, kind: adj
善/n =polar:1, frequency:2, kind: n
吃亏/v=polar:-1, frequency:2, kind: v
卓/adj =polar:1, frequency:2, kind: adj
协调/adj =polar:1, frequency:2, kind: adj
匀/v=polar:1, frequency:2, kind: v
凶/n =polar:-1, frequency:2, kind: n
光明/adj =polar:1, frequency:2, kind: adj
做作/adj =polar:-1, frequency:2, kind: adj
做作/v=polar:-1, frequency:2, kind: v
保守/v=polar:-1, frequency:2, kind: v
侃/adj =polar:1, frequency:2, kind: adj
伪装/v=polar:-1, frequency:2, kind: v
亲近/v=polar:1, frequency:2, kind: v
为难/v=polar:-1, frequency:2, kind: v
麻痹/adj =polar:-1, frequency:1, kind: adj
鸿/n =polar:1, frequency:1, kind: n
高洁/n =polar:1, frequency:1, kind: n
高洁/adj =polar:1, frequency:1, kind: adj
顾虑/v=polar:-1, frequency:1, kind: v
顾/n=polar:1, frequency:1, kind: n
需/n=polar:1, frequency:1, kind: n
陶/n=polar:1, frequency:1, kind: n
陶/v=polar:1, frequency:1, kind: v
陶/adj =polar:1, frequency:1, kind: adj
陶/n =polar:1, frequency:1, kind: n
险/adj =polar:-1, frequency:1, kind: adj
阳/adj =polar:1, frequency:1, kind: adj
闹/adj =polar:-1, frequency:1, kind: adj
闷/adj =polar:-1, frequency:1, kind: adj
通用/n=polar:1, frequency:1, kind: n
逆/n=polar:-1, frequency:1, kind: n
适宜/adj =polar:1, frequency:1, kind: adj
迷惑/adj =polar:-1, frequency:1, kind: adj
说/n=polar:-1, frequency:1, kind: n
误解/v=polar:-1, frequency:1, kind: v
误/n=polar:-1, frequency:1, kind: n
诚心/n =polar:1, frequency:1, kind: n
讲究/adj =polar:1, frequency:1, kind: adj
解渴/adj =polar:1, frequency:1, kind: adj
解渴/v=polar:1, frequency:1, kind: v
规范/adj =polar:1, frequency:1, kind: adj
见效/v=polar:1, frequency:1, kind: v
见效/adj =polar:1, frequency:1, kind: adj
荣耀/n =polar:1, frequency:1, kind: n
艳/n =polar:1, frequency:1, kind: n
良/n =polar:1, frequency:1, kind: n
舒/n=polar:1, frequency:1, kind: n
自重/v=polar:1, frequency:1, kind: v
肯定/adj =polar:1, frequency:1, kind: adj
肥/v=polar:1, frequency:1, kind: v
羞/n=polar:-1, frequency:1, kind: n
红/n=polar:1, frequency:1, kind: n
红/n =polar:1, frequency:1, kind: n
紧/v=polar:-1, frequency:1, kind: v
系统/adj =polar:1, frequency:1, kind: adj
管用/v=polar:1, frequency:1, kind: v
空洞/adj =polar:-1, frequency:1, kind: adj
空洞/n =polar:-1, frequency:1, kind: n
瞎/adj =polar:-1, frequency:1, kind: adj
盛情/adj =polar:1, frequency:1, kind: adj
盛情/n =polar:1, frequency:1, kind: n
盛/adj =polar:1, frequency:1, kind: adj
畅销/adj =polar:1, frequency:1, kind: adj
珍/v=polar:1, frequency:1, kind: v
焕/adj =polar:1, frequency:1, kind: adj
清洁/v=polar:1, frequency:1, kind: v
深/n =polar:1, frequency:1, kind: n
洪/adj =polar:1, frequency:1, kind: adj
洪/n =polar:1, frequency:1, kind: n
毒/v=polar:-1, frequency:1, kind: v
毒/adj =polar:-1, frequency:1, kind: adj
武/adj =polar:1, frequency:1, kind: adj
正/v=polar:1, frequency:1, kind: v
次/n =polar:-1, frequency:1, kind: n
格斗/n=polar:-1, frequency:1, kind: n
标准/adj =polar:1, frequency:1, kind: adj
柔情/adj =polar:1, frequency:1, kind: adj
柔情/n =polar:1, frequency:1, kind: n
松/adj =polar:1, frequency:1, kind: adj
期/v=polar:1, frequency:1, kind: v
晶/n =polar:1, frequency:1, kind: n
晶/adj =polar:1, frequency:1, kind: adj
无益/v=polar:-1, frequency:1, kind: v
斗/n=polar:-1, frequency:1, kind: n
整/adj =polar:1, frequency:1, kind: adj
教训/v=polar:-1, frequency:1, kind: v
损失/v=polar:-1, frequency:1, kind: v
慎/v=polar:1, frequency:1, kind: v
意味/v=polar:1, frequency:1, kind: v
意味/n=polar:1, frequency:1, kind: n
悬/adj =polar:-1, frequency:1, kind: adj
恒/n =polar:1, frequency:1, kind: n
思/n=polar:1, frequency:1, kind: n
忧/v=polar:-1, frequency:1, kind: v
平常/n =polar:-1, frequency:1, kind: n
属实/adj =polar:1, frequency:1, kind: adj
属实/v=polar:1, frequency:1, kind: v
尊/adj =polar:1, frequency:1, kind: adj
富有/adj =polar:1, frequency:1, kind: adj
孝顺/v=polar:1, frequency:1, kind: v
好奇/v=polar:1, frequency:1, kind: v
夸张/n=polar:-1, frequency:1, kind: n
大作/v=polar:1, frequency:1, kind: v
坦白/v=polar:1, frequency:1, kind: v
坦白/adj =polar:1, frequency:1, kind: adj
地震/v=polar:-1, frequency:1, kind: v
土/adj =polar:-1, frequency:1, kind: adj
固定/v=polar:1, frequency:1, kind: v
品味/n=polar:1, frequency:1, kind: n
咒/n=polar:-1, frequency:1, kind: n
命令/v=polar:-1, frequency:1, kind: v
呆/adj =polar:-1, frequency:1, kind: adj
吓人/v=polar:-1, frequency:1, kind: v
反感/adj =polar:-1, frequency:1, kind: adj
